id_mascota,nombre,especie,raza,edad_años,peso_kg,fecha_consulta,dueño_nombre,dueño_email,motivo_consulta,costo_consulta
25,Mia,gato,Siamés,5.0,3.9,2024-02-05,Natalia Sánchez,mia.sanchez@gmail.com,Esterilización,80000.0
26,Thor,perro,San Bernardo,2.0,68.5,2024-02-14,Héctor Vidal,thor@gmail.com,Control rutinario,25000.0
27,Kitty,gato,Angora,4.0,4.0,2024-02-28,Lorena Muñoz,kitty@hotmail.com,Vacunación,18000.0
28,Pancho,perro,Mestizo,7.0,18.3,2024-02-28,Sebastián López,pancho@gmail.com,Revisión general,25000.0
29,Mia,gato,Siamés,5.0,3.9,2024-03-10,Natalia Sánchez,mia.sanchez@gmail.com,Control post-cirugía,30000.0
30,Cleo,perro,Dálmata,3.0,24.6,2024-03-18,Gabriela Núñez,cleo@gmail.com,Desparasitación,15000.0
31,Oscar,gato,Doméstico,11.0,5.7,2024-04-01,Marcelo Fuentes,oscar@gmail.com,Control geriátrico,40000.0
32,Lassy,perro,Collie,6.0,28.1,2024-04-10,Daniela Campos,lassy@gmail.com,Control rutinario,25000.0
33,,,Doméstico,3.0,4.5,2024-04-15,Luis Espinoza,sin_nombre@mail.cl,Vacunación,18000.0
34,Buba,perro,Pitbull,4.0,22.4,2024-04-15,Alejandro Ríos,buba@gmail.com,Revisión general,25000.0
35,Salem,gato,Doméstico,7.0,4.2,2024-04-28,Francisca León,salem@gmail.com,Revisión dental,35000.0
36,Duque,perro,Doberman,4.0,34.9,2024-05-05,Matías Urrea,duque@gmail.com,Control rutinario,25000.0
37,Mimi,gato,Doméstico,2.0,3.1,2024-05-18,Catalina Peña,mimi@hotmail.com,Esterilización,80000.0
38,Bolt,perro,Dálmata,1.0,20.8,2024-05-22,Nicolás Castro,bolt@gmail.com,Primera consulta,20000.0
39,Cleo,perro,Dálmata,3.0,24.6,2024-05-30,Gabriela Núñez,cleo@gmail.com,Control rutinario,25000.0
40,Mufasa,gato,Maine Coon,5.0,7.3,2024-05-30,Victoria Rojas,mufasa@gmail.com,Revisión general,25000.0
41,Fido,perro,Mestizo,4.0,15.2,2024-06-05,Pablo Herrera,fido@gmail.com,Vacunación,18000.0
42,Luna,gato,Angora,5.0,4.8,2024-06-12,Claudia Vega,luna.vega@gmail.com,Revisión dental,35000.0
43,Toto,perro,Schnauzer,3.0,8.9,2024-06-20,Ignacio Álvarez,toto@gmail.com,Desparasitación,15000.0
44,Missy,gato,Persa,6.0,4.4,2024-06-28,Renata Molina,missy@gmail.com,Control rutinario,25000.0
45,Rex,perro,Pastor Alemán,7.0,24.6,2024-07-05,Carlos Muñoz,rex_owner@vet.com,Control anual,30000.0
46,Paco,loro,Cotorra,,0.15,2024-07-10,Eduardo Torres,paco@gmail.com,Revisión general,20000.0
47,Canela,perro,Cocker Spaniel,4.0,13.7,2024-07-10,Paulina Romero,canela@mail.cl,Vacunación,18000.0
48,Gohan,perro,Labrador,2.0,29.3,2024-07-22,Cristóbal Vera,gohan@gmail.com,Control rutinario,25000.0
49,Nala,gato,Doméstico,5.0,3.5,2024-07-30,Isabel Rojas,nala.rojas@gmail.com,Control post-op,30000.0
50,Chispas,perro,Chihuahua,8.0,2.8,2024-08-08,Amanda Jiménez,chispas@gmail.com,Control geriátrico,40000.0
